Car Code,Time Captured
ART40/24/003,2024-02-25T09:46:49.579099
ART40/24/013,2024-02-25T09:49:39.867551
ART40/24/018,2024-02-25T09:51:39.846298
ART40/24/028,2024-02-25T09:56:55.567343
ART40/24/002,2024-02-25T09:57:25.934363
ART40/24/014,2024-02-25T09:59:28.968190
ART40/24/009,2024-02-25T10:02:07.683011
ART40/24/021,2024-02-25T10:10:35.106140
ART40/24/007,2024-02-25T10:10:44.939148
ART40/24/001,2024-02-25T10:11:22.854525
ART40/24/015,2024-02-25T10:13:04.788034
ART40/24/011,2024-02-25T10:16:11.090348
ART40/24/020,2024-02-25T10:19:44.757577
ART40/24/023,2024-02-25T10:19:53.263613
ART40/24/019,2024-02-25T10:20:10.708045
ART40/24/033,2024-02-25T10:20:16.846388
ART40/24/053,2024-02-25T10:20:23.113501
ART40/24/017,2024-02-25T10:22:13.882429
ART40/24/066,2024-02-25T10:23:38.817202
ART40/24/038,2024-02-25T10:24:39.501835
ART40/24/029,2024-02-25T10:25:03.132311
ART40/24/024,2024-02-25T10:25:15.814772
ART40/24/039,2024-02-25T10:26:52.471261
ART40/24/016,2024-02-25T10:28:42.298340
ART40/24/051,2024-02-25T10:29:03.323624
ART40/24/008,2024-02-25T10:31:20.975714
ART40/24/004,2024-02-25T10:31:27.568420
ART40/24/063,2024-02-25T10:31:37.682708
ART40/24/042,2024-02-25T10:32:13.259712
ART40/24/061,2024-02-25T10:33:56.402681
ART40/24/055,2024-02-25T10:34:05.007949
ART40/24/040,2024-02-25T10:34:12.243850
ART40/24/025,2024-02-25T10:36:40.423048
ART40/24/068,2024-02-25T10:36:55.474816
ART40/24/065,2024-02-25T10:37:05.213486
ART40/24/064,2024-02-25T10:37:14.009615
ART40/24/012,2024-02-25T10:37:27.395316
ART40/24/026,2024-02-25T10:37:42.024849
ART40/24/050,2024-02-25T10:37:59.795376
ART40/24/005,2024-02-25T10:40:21.436577
ART40/24/045,2024-02-25T10:42:07.244414
ART40/24/030,2024-02-25T10:42:24.763222
ART40/24/046,2024-02-25T10:43:43.833656
ART40/24/037,2024-02-25T10:45:22.549938
ART40/24/057,2024-02-25T10:45:53.312814
ART40/24/035,2024-02-25T10:48:18.401253
ART40/24/010,2024-02-25T10:48:36.142418
ART40/24/048,2024-02-25T10:48:46.326977
ART40/24/036,2024-02-25T10:49:13.851535
ART40/24/031,2024-02-25T11:01:03.039821
ART40/24/047,2024-02-25T11:01:28.419716
ART40/24/032,2024-02-25T11:01:52.378331
ART40/24/060,2024-02-25T11:02:22.185359
ART40/24/054,2024-02-25T11:04:22.147318
ART40/24/056,2024-02-25T11:04:51.119961
ART40/24/067,2024-02-25T11:05:36.579778
ART40/24/034,2024-02-25T11:05:44.087288
ART40/24/044,2024-02-25T11:07:03.504999
ART40/24/058,2024-02-25T11:27:16.850772
ART40/24/069,2024-02-25T11:50:16.584340
ART40/24/070,2024-02-25T12:03:48.550571
