Car Code,Time Captured
ART40/24/003,2024-02-25T10:39:18.307152
ART40/24/013,2024-02-25T10:46:27.927980
ART40/24/028,2024-02-25T10:55:31.927965
ART40/24/018,2024-02-25T10:58:45.058853
ART40/24/009,2024-02-25T11:08:59.450457
ART40/24/014,2024-02-25T11:10:14.077712
ART40/24/001,2024-02-25T11:11:09.317860
ART40/24/002,2024-02-25T11:13:49.219777
ART40/24/007,2024-02-25T11:14:06.804197
ART40/24/015,2024-02-25T11:15:40.178695
ART40/24/021,2024-02-25T11:15:55.888721
ART40/24/011,2024-02-25T11:23:54.398818
ART40/24/066,2024-02-25T11:25:00.799258
ART40/24/053,2024-02-25T11:27:11.041592
ART40/24/038,2024-02-25T11:28:22.165805
ART40/24/024,2024-02-25T11:29:30.725202
ART40/24/023,2024-02-25T11:30:04.440061
ART40/24/020,2024-02-25T11:30:20.872160
ART40/24/017,2024-02-25T11:30:44.768706
ART40/24/055,2024-02-25T11:31:12.969668
ART40/24/068,2024-02-25T11:31:54.546221
ART40/24/064,2024-02-25T11:32:16.048899
ART40/24/065,2024-02-25T11:32:49.877992
ART40/24/051,2024-02-25T11:34:12.290170
ART40/24/008,2024-02-25T11:34:35.705364
ART40/24/004,2024-02-25T11:35:05.084348
ART40/24/039,2024-02-25T11:35:15.672138
ART40/24/063,2024-02-25T11:35:24.789743
ART40/24/050,2024-02-25T11:36:21.368148
ART40/24/033,2024-02-25T11:40:21.919341
ART40/24/033,2024-02-25T11:40:23.507340
ART40/24/019,2024-02-25T11:40:50.648720
ART40/24/042,2024-02-25T11:41:15.950359
ART40/24/040,2024-02-25T11:41:27.698577
ART40/24/029,2024-02-25T11:41:54.052799
ART40/24/026,2024-02-25T11:42:17.280118
ART40/24/045,2024-02-25T11:42:31.556504
ART40/24/012,2024-02-25T11:42:49.131387
ART40/24/025,2024-02-25T11:47:48.670058
ART40/24/057,2024-02-25T11:51:27.509387
ART40/24/046,2024-02-25T11:52:04.803292
ART40/24/005,2024-02-25T11:52:33.623849
ART40/24/037,2024-02-25T11:53:22.772462
ART40/24/035,2024-02-25T11:56:33.858825
ART40/24/030,2024-02-25T11:58:48.380026
ART40/24/061,2024-02-25T11:59:45.673062
ART40/24/036,2024-02-25T12:01:54.829251
ART40/24/016,2024-02-25T12:02:06.436313
ART40/24/048,2024-02-25T12:02:29.140296
ART40/24/056,2024-02-25T12:04:06.012258
ART40/24/044,2024-02-25T12:05:08.764083
ART40/24/010,2024-02-25T12:05:34.933753
ART40/24/031,2024-02-25T12:07:17.762497
ART40/24/060,2024-02-25T12:11:05.757572
ART40/24/047,2024-02-25T12:14:30.566865
ART40/24/034,2024-02-25T12:20:13.321279
ART40/24/067,2024-02-25T12:23:01.727507
ART40/24/054,2024-02-25T12:24:22.189481
ART40/24/058,2024-02-25T12:29:34.713345
