Car Code,Time Captured
ART40/24/003,2024-02-25T10:05:09.184585
ART40/24/013,2024-02-25T10:07:43.778124
ART40/24/018,2024-02-25T10:10:52.418876
ART40/24/028,2024-02-25T10:13:18.122784
ART40/24/002,2024-02-25T10:20:34.330147
ART40/24/014,2024-02-25T10:24:28.346383
ART40/24/009,2024-02-25T10:25:35.236879
ART40/24/007,2024-02-25T10:27:51.795849
ART40/24/021,2024-02-25T10:29:16.404627
ART40/24/015,2024-02-25T10:32:06.877806
ART40/24/011,2024-02-25T10:39:04.858552
ART40/24/023,2024-02-25T10:39:55.184482
ART40/24/020,2024-02-25T10:40:41.010454
ART40/24/019,2024-02-25T10:41:02.275817
ART40/24/033,2024-02-25T10:41:22.588575
ART40/24/053,2024-02-25T10:41:53.049674
ART40/24/001,2024-02-25T10:42:09.285336
ART40/24/066,2024-02-25T10:42:58.370471
ART40/24/038,2024-02-25T10:45:30.700795
ART40/24/051,2024-02-25T10:49:10.462297
ART40/24/039,2024-02-25T10:49:23.069845
ART40/24/024,2024-02-25T10:49:50.510597
ART40/24/029,2024-02-25T10:50:21.727363
ART40/24/063,2024-02-25T10:50:51.101774
ART40/24/055,2024-02-25T10:51:12.830421
ART40/24/004,2024-02-25T10:51:35.916031
ART40/24/017,2024-02-25T10:52:20.144511
ART40/24/042,2024-02-25T10:53:14.257287
ART40/24/008,2024-02-25T10:53:53.053802
ART40/24/040,2024-02-25T10:55:52.050385
ART40/24/065,2024-02-25T10:56:31.308175
ART40/24/068,2024-02-25T10:57:35.631546
ART40/24/050,2024-02-25T10:58:50.694001
ART40/24/026,2024-02-25T10:59:21.200410
ART40/24/045,2024-02-25T10:59:56.376607
ART40/24/025,2024-02-25T11:00:18.002997
ART40/24/005,2024-02-25T11:02:30.085290
ART40/24/046,2024-02-25T11:03:38.864583
ART40/24/037,2024-02-25T11:04:34.571442
ART40/24/030,2024-02-25T11:05:00.221713
ART40/24/012,2024-02-25T11:06:34.648324
ART40/24/057,2024-02-25T11:09:22.633104
ART40/24/035,2024-02-25T11:09:41.533912
ART40/24/016,2024-02-25T11:10:50.822235
ART40/24/048,2024-02-25T11:12:49.756307
ART40/24/061,2024-02-25T11:13:40.484477
ART40/24/036,2024-02-25T11:14:14.374900
ART40/24/010,2024-02-25T11:23:05.318661
ART40/24/010,2024-02-25T11:23:06.999487
ART40/24/056,2024-02-25T11:24:08.952389
ART40/24/031,2024-02-25T11:27:34.435723
ART40/24/047,2024-02-25T11:28:11.119410
ART40/24/060,2024-02-25T11:28:45.092043
ART40/24/067,2024-02-25T11:29:06.342923
ART40/24/044,2024-02-25T11:30:07.371236
ART40/24/034,2024-02-25T11:30:38.699060
ART40/24/054,2024-02-25T11:34:15.187857
ART40/24/058,2024-02-25T11:45:13.753915
ART40/24/041,2024-02-25T12:07:02.299331
ART40/24/069,2024-02-25T12:09:28.560014
ART40/24/070,2024-02-25T12:30:24.199556
