Car Code,Time Captured
ART40/24/003,2024-02-25T10:19:14.006894
ART40/24/013,2024-02-25T10:22:18.336343
ART40/24/018,2024-02-25T10:30:08.276568
ART40/24/028,2024-02-25T10:34:34.581834
ART40/24/014,2024-02-25T10:44:00.329023
ART40/24/014,2024-02-25T10:44:02.429893
ART40/24/014,2024-02-25T10:44:05.593978
ART40/24/009,2024-02-25T10:46:33.990473
ART40/24/001,2024-02-25T10:47:31.502985
ART40/24/002,2024-02-25T10:48:11.132794
ART40/24/007,2024-02-25T10:49:02.102467
ART40/24/021,2024-02-25T10:51:10.626466
ART40/24/015,2024-02-25T10:53:40.212632
ART40/24/011,2024-02-25T10:58:00.159840
ART40/24/024,2024-02-25T11:01:07.519655
ART40/24/066,2024-02-25T11:01:41.908726
ART40/24/053,2024-02-25T11:02:05.753419
ART40/24/038,2024-02-25T11:07:32.745883
ART40/24/023,2024-02-25T11:08:00.989479
ART40/24/020,2024-02-25T11:08:35.428281
ART40/24/017,2024-02-25T11:08:54.840734
ART40/24/068,2024-02-25T11:10:39.109009
ART40/24/051,2024-02-25T11:10:46.575044
ART40/24/008,2024-02-25T11:11:10.665332
ART40/24/050,2024-02-25T11:11:19.346755
ART40/24/033,2024-02-25T11:11:30.943250
ART40/24/055,2024-02-25T11:11:46.591483
ART40/24/065,2024-02-25T11:12:33.696911
ART40/24/064,2024-02-25T11:15:21.705762
ART40/24/004,2024-02-25T11:15:50.843666
ART40/24/063,2024-02-25T11:17:16.068330
ART40/24/039,2024-02-25T11:17:30.310542
ART40/24/026,2024-02-25T11:18:27.247909
ART40/24/005,2024-02-25T11:18:58.649071
ART40/24/012,2024-02-25T11:19:10.869155
ART40/24/029 ,2024-02-25T11:19:32.875326
ART40/24/042,2024-02-25T11:20:17.969816
ART40/24/025,2024-02-25T11:20:30.306747
ART40/24/019,2024-02-25T11:20:34.696191
ART40/24/040,2024-02-25T11:20:55.348491
ART40/24/045,2024-02-25T11:21:02.268433
ART40/24/035,2024-02-25T11:23:13.876340
ART40/24/035,2024-02-25T11:23:15.755400
ART40/24/057,2024-02-25T11:26:24.718920
ART40/24/046,2024-02-25T11:27:33.256399
ART40/24/037,2024-02-25T11:28:48.742311
ART40/24/061,2024-02-25T11:32:19.443110
ART40/24/048,2024-02-25T11:34:33.522341
ART40/24/030,2024-02-25T11:34:48.790032
ART40/24/036,2024-02-25T11:37:06.777841
ART40/24/016,2024-02-25T11:37:42.097527
ART40/24/010,2024-02-25T11:39:47.368144
ART40/24/031,2024-02-25T11:43:23.813918
ART40/24/044,2024-02-25T11:43:50.247191
ART40/24/056,2024-02-25T11:44:27.966949
ART40/24/060,2024-02-25T11:49:58.488039
ART40/24/047,2024-02-25T11:50:17.929733
ART40/24/034,2024-02-25T11:53:20.634901
ART40/24/067,2024-02-25T11:53:38.275271
ART40/24/054,2024-02-25T12:01:46.679988
ART40/24/058,2024-02-25T12:07:03.018028
ART40/24/069,2024-02-25T12:26:41.514941
ART40/24/041,2024-02-25T12:31:11.776276
