Car Code,Time Captured
ART40/24/003,2024-02-25T08:08:52.963471
ART40/24/006,2024-02-25T08:13:46.443563
ART40/24/001,2024-02-25T08:13:55.549708
ART40/24/007,2024-02-25T08:14:11.564677
ART40/24/008,2024-02-25T08:15:00.0
ART40/24/005,2024-02-25T08:15:15.055163
ART40/24/009,2024-02-25T08:16:09.765980
ART40/24/012,2024-02-25T08:18:08.484260
ART40/24/013,2024-02-25T08:18:53.692444
ART40/24/014,2024-02-25T08:19:27.615320
ART40/24/002,2024-02-25T08:20:37.677705
ART40/24/015,2024-02-25T08:24:48.373596
ART40/24/018,2024-02-25T08:25:56.953260
ART40/24/004,2024-02-25T08:26:41.935789
ART40/24/016,2024-02-25T08:27:25.158502
ART40/24/017,2024-02-25T08:27:53.021919
ART40/24/010,2024-02-25T08:29:43.521344
ART40/24/021,2024-02-25T08:31:50.617019
ART40/24/019,2024-02-25T08:31:57.834772
ART40/24/020,2024-02-25T08:33:34.548547
ART40/24/024,2024-02-25T08:34:34.621071
ART40/24/025,2024-02-25T08:35:13.434083
ART40/24/028,2024-02-25T08:36:15.002835
ART40/24/026,2024-02-25T08:38:19.857482
ART40/24/030,2024-02-25T08:39:39.767746
ART40/24/029,2024-02-25T08:40:52.471813
ART40/24/033,2024-02-25T08:41:30.255260
ART40/24/036,2024-02-25T08:44:58.283443
ART40/24/034,2024-02-25T08:47:52.626411
ART40/24/038,2024-02-25T08:48:18.776763
ART40/24/039,2024-02-25T08:48:45.870406
ART40/24/040,2024-02-25T08:49:11.116151
ART40/24/042,2024-02-25T08:50:51.500200
ART40/24/031,2024-02-25T08:52:46.493250
ART40/24/044,2024-02-25T08:53:32.263194
ART40/24/046,2024-02-25T08:53:49.834970
ART40/24/022,2024-02-25T08:53:59.101290
ART40/24/035,2024-02-25T08:55:55.300147
ART40/24/048,2024-02-25T08:57:39.652486
ART40/24/047,2024-02-25T08:58:02.949507
ART40/24/053,2024-02-25T08:58:25.459991
ART40/24/032,2024-02-25T08:58:53.756176
ART40/24/037,2024-02-25T09:02:08.551054
ART40/24/055,2024-02-25T09:03:36.647922
ART40/24/056,2024-02-25T09:04:05.753884
ART40/24/058,2024-02-25T09:04:40.150561
ART40/24/057,2024-02-25T09:05:11.930196
ART40/24/060,2024-02-25T09:05:26.890120
ART40/24/061,2024-02-25T09:09:11.655438
ART40/24/066,2024-02-25T09:09:34.005253
ART40/24/065,2024-02-25T09:09:52.481822
ART40/24/063,2024-02-25T09:09:59.652832
ART40/24/068,2024-02-25T09:11:46.332015
ART40/24/051,2024-02-25T09:14:09.133255
ART40/24/050,2024-02-25T09:16:28.220831
ART40/24/064,2024-02-25T09:17:15.986302
ART40/24/069,2024-02-25T09:17:49.211654
ART40/24/062,2024-02-25T09:20:06.345508
ART40/24/045,2024-02-25T09:21:04.609588
ART40/24/070,2024-02-25T09:35:01.099632
