Car Code,Time Captured
ART40/24/006,2024-02-25T08:58:00.0
ART40/24/003,2024-02-25T08:39:55.458374
ART40/24/013,2024-02-25T09:00:24.581929
ART40/24/014,2024-02-25T09:01:12.342770
ART40/24/007,2024-02-25T09:01:27.068861
ART40/24/018,2024-02-25T09:02:31.532564
ART40/24/009,2024-02-25T09:03:06.014467
ART40/24/002,2024-02-25T09:03:12.335601
ART40/24/015,2024-02-25T09:08:35.399551
ART40/24/028,2024-02-25T09:12:56.308227
ART40/24/021,2024-02-25T09:15:12.173368
ART40/24/011,2024-02-25T09:15:23.829636
ART40/24/008,2024-02-25T09:20:54.835316
ART40/24/029,2024-02-25T09:23:47.098818
ART40/24/029,2024-02-25T09:23:49.896902
ART40/24/030,2024-02-25T09:26:20.702122
ART40/24/001,2024-02-25T09:26:34.042888
ART40/24/023,2024-02-25T09:26:48.225072
ART40/24/019,2024-02-25T09:27:00.758764
ART40/24/020,2024-02-25T09:27:18.942825
ART40/24/020,2024-02-25T09:27:20.487973
ART40/24/038,2024-02-25T09:28:12.220603
ART40/24/026,2024-02-25T09:28:32.506280
ART40/24/033,2024-02-25T09:30:49.460064
ART40/24/016,2024-02-25T09:31:41.703033
ART40/24/017,2024-02-25T09:32:16.632947
ART40/24/053,2024-02-25T09:34:17.004777
ART40/24/040,2024-02-25T09:35:16.855965
ART40/24/039,2024-02-25T09:36:52.848721
ART40/24/005,2024-02-25T09:39:18.654244
ART40/24/057,2024-02-25T09:40:46.924246
ART40/24/042,2024-02-25T09:41:15.437087
ART40/24/032,2024-02-25T09:41:25.532178
ART40/24/046,2024-02-25T09:42:11.189081
ART40/24/004,2024-02-25T09:42:30.503389
ART40/24/036,2024-02-25T09:42:48.845106
ART40/24/036,2024-02-25T09:42:50.304314
ART40/24/066,2024-02-25T09:42:57.271126
ART40/24/037,2024-02-25T09:43:17.692632
ART40/24/051,2024-02-25T09:45:39.525558
ART40/24/044,2024-02-25T09:45:57.652347
ART40/24/065,2024-02-25T09:46:23.261399
ART40/24/055,2024-02-25T09:46:50.406066
ART40/24/063,2024-02-25T09:47:17.862382
ART40/24/068,2024-02-25T09:47:46.154244
ART40/24/064,2024-02-25T09:49:26.900697
ART40/24/061,2024-02-25T09:49:41.926512
ART40/24/048,2024-02-25T09:50:13.832183
ART40/24/050,2024-02-25T09:52:35.142251
ART40/24/047,2024-02-25T09:53:05.446741
ART40/24/031,2024-02-25T09:56:11.297584
ART40/24/045,2024-02-25T09:58:20.958290
ART40/24/045,2024-02-25T09:58:22.567897
ART40/24/056,2024-02-25T10:01:13.857127
ART40/24/034,2024-02-25T10:05:47.119404
ART40/24/067,2024-02-25T10:07:41.213137
ART40/24/069,2024-02-25T10:08:24.425820
ART40/24/060,2024-02-25T10:13:20.043100
ART40/24/058,2024-02-25T10:18:47.062283
ART40/24/058,2024-02-25T10:18:48.270075
ART40/24/070,2024-02-25T10:44:30.955315
