Car Code,Time Captured
ART40/24/003,2024-02-25T08:25:15.145549
ART40/24/001,2024-02-25T08:39:43.512245
ART40/24/012,2024-02-25T08:40:28.393053
ART40/24/008,2024-02-25T08:42:28.446416
ART40/24/014,2024-02-25T08:42:36.011771
ART40/24/013,2024-02-25T08:43:46.653101
ART40/24/017,2024-02-25T08:44:11.493054
ART40/24/009,2024-02-25T08:45:00.523656
ART40/24/007,2024-02-25T08:45:27.254351
ART40/24/015,2024-02-25T08:45:36.222001
ART40/24/011,2024-02-25T08:47:10.584170
ART40/24/018,2024-02-25T08:47:38.783150
ART40/24/002,2024-02-25T08:49:10.942832
ART40/24/005,2024-02-25T08:49:17.122380
ART40/24/021,2024-02-25T08:54:09.635406
ART40/24/025,2024-02-25T08:54:19.387205
ART40/24/004,2024-02-25T08:54:27.791190
ART40/24/028,2024-02-25T08:57:46.611180
ART40/24/019,2024-02-25T08:59:09.037799
ART40/24/024,2024-02-25T08:59:58.776645
ART40/24/029 ,2024-02-25T09:02:43.809944
ART40/24/020,2024-02-25T09:06:22.733596
ART40/24/010,2024-02-25T09:06:41.940131
ART40/24/023,2024-02-25T09:08:53.075679
ART40/24/026,2024-02-25T09:09:25.645129
ART40/24/038,2024-02-25T09:09:42.902689
ART40/24/030,2024-02-25T09:09:58.686287
ART40/24/016,2024-02-25T09:10:38.079755
ART40/24/033,2024-02-25T09:12:17.735278
ART40/24/042,2024-02-25T09:14:55.200993
ART40/24/041,2024-02-25T09:17:08.338068
ART40/24/040,2024-02-25T09:17:16.775166
ART40/24/036,2024-02-25T09:17:47.955877
ART40/24/039,2024-02-25T09:18:30.506357
ART40/24/053,2024-02-25T09:18:53.251906
ART40/24/046,2024-02-25T09:19:16.573419
ART40/24/037,2024-02-25T09:22:47.246509
ART40/24/057,2024-02-25T09:24:25.750947
ART40/24/032,2024-02-25T09:25:24.136694
ART40/24/034,2024-02-25T09:25:34.719236
ART40/24/035,2024-02-25T09:25:45.915999
ART40/24/066,2024-02-25T09:28:17.184418
ART40/24/068,2024-02-25T09:28:31.429378
ART40/24/063,2024-02-25T09:28:43.694491
ART40/24/044,2024-02-25T09:28:59.997261
ART40/24/048,2024-02-25T09:29:18.112280
ART40/24/055,2024-02-25T09:29:36.135984
ART40/24/047,2024-02-25T09:29:57.820221
ART40/24/056,2024-02-25T09:30:20.466746
ART40/24/031,2024-02-25T09:30:41.073250
ART40/24/065,2024-02-25T09:31:28.677985
ART40/24/051,2024-02-25T09:32:25.328281
ART40/24/061,2024-02-25T09:33:18.755543
ART40/24/054,2024-02-25T09:35:45.821496
ART40/24/064,2024-02-25T09:36:40.401160
ART40/24/060,2024-02-25T09:37:33.750700
ART40/24/045,2024-02-25T09:42:35.159496
ART40/24/069,2024-02-25T09:47:54.081861
ART40/24/067,2024-02-25T09:48:09.265741
ART40/24/062,2024-02-25T09:54:34.899739
ART40/24/070,2024-02-25T10:15:27.719802
