Car Code,Time Captured
ART40/24/003,2024-02-25T10:33:15.678082
ART40/24/013,2024-02-25T10:42:24.652277
ART40/24/028,2024-02-25T10:51:13.991364
ART40/24/018,2024-02-25T10:54:04.825206
ART40/24/009,2024-02-25T11:03:39.741708
ART40/24/014,2024-02-25T11:04:26.660469
ART40/24/001,2024-02-25T11:07:58.650816
ART40/24/021,2024-02-25T11:08:18.391101
ART40/24/002,2024-02-25T11:08:51.624057
ART40/24/007,2024-02-25T11:08:58.879335
ART40/24/015,2024-02-25T11:10:42.434818
ART40/24/011,2024-02-25T11:17:55.741905
ART40/24/066,2024-02-25T11:21:19.638168
ART40/24/053,2024-02-25T11:22:59.190472
ART40/24/038,2024-02-25T11:24:00.937950
ART40/24/024,2024-02-25T11:24:30.068308
ART40/24/023,2024-02-25T11:24:56.221131
ART40/24/020,2024-02-25T11:25:15.133721
ART40/24/017,2024-02-25T11:25:36.098093
ART40/24/065,2024-02-25T11:26:20.683383
ART40/24/068,2024-02-25T11:26:38.479022
ART40/24/064,2024-02-25T11:27:16.176548
ART40/24/008,2024-02-25T11:29:16.282286
ART40/24/051,2024-02-25T11:29:28.107158
ART40/24/004,2024-02-25T11:29:59.618615
ART40/24/050,2024-02-25T11:31:08.826481
ART40/24/039,2024-02-25T11:31:32.671646
ART40/24/063,2024-02-25T11:31:46.284629
ART40/24/032,2024-02-25T11:35:57.381092
ART40/24/029,2024-02-25T11:36:15.869102
ART40/24/042,2024-02-25T11:36:54.847711
ART40/24/040,2024-02-25T11:37:09.398088
ART40/24/026,2024-02-25T11:37:17.530596
ART40/24/012,2024-02-25T11:37:41.012352
ART40/24/045,2024-02-25T11:38:08.721026
ART40/24/057,2024-02-25T11:45:39.879894
ART40/24/046,2024-02-25T11:47:45.003541
ART40/24/037,2024-02-25T11:47:56.218422
ART40/24/005,2024-02-25T11:48:11.252744
ART40/24/005,2024-02-25T11:48:12.489696
ART40/24/030,2024-02-25T11:53:45.208718
ART40/24/061,2024-02-25T11:54:17.755489
ART40/24/036,2024-02-25T11:55:52.582297
ART40/24/048,2024-02-25T11:56:26.472044
ART40/24/016,2024-02-25T11:57:14.317973
ART40/24/044,2024-02-25T11:59:45.733523
ART40/24/056,2024-02-25T12:00:10.055392
ART40/24/031,2024-02-25T12:00:45.293385
ART40/24/060,2024-02-25T12:06:45.647034
ART40/24/047,2024-02-25T12:10:27.790906
ART40/24/034,2024-02-25T12:15:48.031982
ART40/24/067,2024-02-25T12:19:06.644194
