Car Code,Time Captured
ART40/24/001,2024-02-25T08:01:30.0
ART40/24/002,2024-02-25T08:02:35.0
ART40/24/003,2024-02-25T08:04:45.0
ART40/24/004,2024-02-25T08:05:12.045091
ART40/24/005,2024-02-25T08:06:20.748441
ART40/24/006,2024-02-25T08:06:30.0
ART40/24/007,2024-02-25T08:07:26.340777
ART40/24/008,2024-02-25T08:08:28.052828
ART40/24/009,2024-02-25T08:09:25.329178
ART40/24/010,2024-02-25T08:10:16.192895
ART40/24/011,2024-02-25T08:11:03.296262
ART40/24/012,2024-02-25T08:12:04.570120
ART40/24/013,2024-02-25T08:13:05.596191
ART40/24/014,2024-02-25T08:14:05.765207
ART40/24/015,2024-02-25T08:18:05.168129
ART40/24/018,2024-02-25T08:21:04.274487
ART40/24/016,2024-02-25T08:22:04.557215
ART40/24/017,2024-02-25T08:23:04.938817
ART40/24/019,2024-02-25T08:24:04.076674
ART40/24/020,2024-02-25T08:25:04.690975
ART40/24/021,2024-02-25T08:26:04.467670
ART40/24/023,2024-02-25T08:27:04.485526
ART40/24/024,2024-02-25T08:28:04.977513
ART40/24/025,2024-02-25T08:29:05.404629
ART40/24/026,2024-02-25T08:30:06.214275
ART40/24/028,2024-02-25T08:31:05.219909
ART40/24/029,2024-02-25T08:32:05.394
ART40/24/030,2024-02-25T08:33:06.483718
ART40/24/031,2024-02-25T08:34:04.227502
ART40/24/032,2024-02-25T08:35:19.551305
ART40/24/033,2024-02-25T08:36:03.833532
ART40/24/034,2024-02-25T08:37:04.728951
ART40/24/035,2024-02-25T08:38:04.903207
ART40/24/036,2024-02-25T08:39:03.693886
ART40/24/022,2024-02-25T08:40:03.334971
ART40/24/037,2024-02-25T08:41:03.786059
ART40/24/038,2024-02-25T08:42:03.998662
ART40/24/039,2024-02-25T08:43:04.409224
ART40/24/040,2024-02-25T08:44:03.021725
ART40/24/041,2024-02-25T08:45:02.937120
ART40/24/044,2024-02-25T08:47:04.926460
ART40/24/046,2024-02-25T08:48:06.024038
ART40/24/047,2024-02-25T08:49:04.188022
ART40/24/048,2024-02-25T08:50:00.0
ART40/24/053,2024-02-25T08:53:05.584625
ART40/24/054,2024-02-25T08:54:06.734947
ART40/24/055,2024-02-25T08:55:04.079106
ART40/24/056,2024-02-25T08:56:03.541091
ART40/24/057,2024-02-25T08:57:03.681096
ART40/24/058,2024-02-25T08:58:03.856506
ART40/24/060,2024-02-25T08:59:07.240921
ART40/24/061,2024-02-25T09:00:04.454969
ART40/24/062,2024-02-25T09:01:03.819851
ART40/24/063,2024-02-25T09:02:03.927952
ART40/24/065,2024-02-25T09:03:04.196454
ART40/24/066,2024-02-25T09:04:03.673031
ART40/24/067,2024-02-25T09:05:03.518068
ART40/24/068,2024-02-25T09:06:05.567831
ART40/24/069,2024-02-25T09:07:04.222482
ART40/24/050,2024-02-25T09:08:03.654016
ART40/24/051,2024-02-25T09:09:04.899028
ART40/24/045,2024-02-25T09:10:03.163044
ART40/24/064,2024-02-25T09:11:04.824536
ART40/24/070,2024-02-25T09:25:21.896140
