Car Code,Time Captured
ART40/24/006,2024-02-25T09:03:36.0
ART40/24/003,2024-02-25T09:03:26.718166
ART40/24/013,2024-02-25T09:28:44.356455
ART40/24/018,2024-02-25T09:29:36.430818
ART40/24/002,2024-02-25T09:34:02.781575
ART40/24/014,2024-02-25T09:34:31.476310
ART40/24/009,2024-02-25T09:37:07.438785
ART40/24/028,2024-02-25T09:39:09.438610
ART40/24/011,2024-02-25T09:49:56.108198
ART40/24/007,2024-02-25T09:50:55.967089
ART40/24/021,2024-02-25T09:51:54.907868
ART40/24/001,2024-02-25T09:54:02.451995
ART40/24/015,2024-02-25T09:54:26.558219
ART40/24/008,2024-02-25T09:55:47.826318
ART40/24/023,2024-02-25T09:56:34.155277
ART40/24/019,2024-02-25T09:56:48.991848
ART40/24/020,2024-02-25T09:57:54.586703
ART40/24/017,2024-02-25T09:59:39.507780
ART40/24/033,2024-02-25T10:00:40.269478
ART40/24/053,2024-02-25T10:00:55.924843
ART40/24/038,2024-02-25T10:02:11.285547
ART40/24/030,2024-02-25T10:02:38.255631
ART40/24/024,2024-02-25T10:02:52.629507
ART40/24/029,2024-02-25T10:03:29.054945
ART40/24/066,2024-02-25T10:06:05.750138
ART40/24/016,2024-02-25T10:07:27.861115
ART40/24/039,2024-02-25T10:08:59.779117
ART40/24/026,2024-02-25T10:10:17.045852
ART40/24/051,2024-02-25T10:11:16.198159
ART40/24/040,2024-02-25T10:11:29.296267
ART40/24/042,2024-02-25T10:11:49.526991
ART40/24/004,2024-02-25T10:12:03.851213
ART40/24/012,2024-02-25T10:12:36.890081
ART40/24/063,2024-02-25T10:13:44.276986
ART40/24/055,2024-02-25T10:14:03.990319
ART40/24/061,2024-02-25T10:14:24.490028
ART40/24/065,2024-02-25T10:15:21.393015
ART40/24/068,2024-02-25T10:17:02.895985
ART40/24/025,2024-02-25T10:17:30.939
ART40/24/050,2024-02-25T10:17:59.488967
ART40/24/064,2024-02-25T10:18:15.490066
ART40/24/005,2024-02-25T10:20:13.653690
ART40/24/057,2024-02-25T10:21:45.793183
ART40/24/035,2024-02-25T10:22:07.048759
ART40/24/045,2024-02-25T10:23:11.773623
ART40/24/046,2024-02-25T10:23:27.591595
ART40/24/036,2024-02-25T10:23:35.336880
ART40/24/048,2024-02-25T10:24:34.555948
ART40/24/037,2024-02-25T10:27:35.855832
ART40/24/031,2024-02-25T10:31:19.472306
ART40/24/047,2024-02-25T10:32:26.879190
ART40/24/034,2024-02-25T10:41:48.551129
ART40/24/067,2024-02-25T10:42:09.414018
ART40/24/056,2024-02-25T10:42:48.635669
ART40/24/044,2024-02-25T10:44:11.011282
ART40/24/060,2024-02-25T10:44:32.364178
ART40/24/054,2024-02-25T10:45:04.195372
ART40/24/058,2024-02-25T11:00:54.203747
ART40/24/069,2024-02-25T11:19:06.108287
ART40/24/070,2024-02-25T11:37:51.362565
