Car Number,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8
1,8:01:00,,8:44:00,9:08:00,9:56:00,10:29:00,10:59:00,11:26:00
2,8:02:00,,9:08:00,10:28:00,11:06:00,11:32:00,11:49:00,12:24:00
3,8:43:00,10:21:00,10:59:00,11:42:00,12:29:00,,,
4,0:00:00,,,,,,,
5,8:06:00,8:54:00,9:19:00,,10:37:00,,11:22:00,12:04:00
6,8:07:00,0:00:00,9:12:00,10:03:00,10:45:00,11:32:00,11:54:00,12:15:00
7,0:00:00,0:00:00,,,,,,
8,8:08:00,0:00:00,9:25:00,10:12:00,10:59:00,,,11:47:00
9,8:09:00,8:52:00,9:14:00,10:03:00,10:38:00,,,11:46:00
10,8:10:00,8:52:00,9:12:00,9:30:00,10:15:00,10:39:00,,
11,8:32:00,8:57:00,9:17:00,9:40:00,10:09:00,10:32:00,10:57:00,11:28:00
12,8:12:00,,,10:23:00,,,,12:06:00
13,8:13:00,8:52:00,9:14:00,10:02:00,10:36:00,11:11:00,11:39:00,12:07:00
14,9:00:00,9:30:00,9:45:00,10:06:00,10:34:00,10:59:00,11:13:00,11:44:00
15,8:15:00,,9:17:00,10:05:00,10:55:00,,11:55:00,12:34:00
16,8:16:00,,9:47:00,10:14:00,11:06:00,11:39:00,11:49:00,12:16:00
17,8:45:00,9:10:00,9:57:00,10:49:00,11:37:00,11:26:00,12:12:00,12:40:00
18,8:18:00,8:53:00,9:20:00,9:51:00,10:37:00,11:09:00,11:25:00,12:19:00
19,8:20:00,,9:10:00,9:31:00,10:19:00,,,11:47:00
20,8:21:00,,9:23:00,9:51:00,10:35:00,,11:54:00,12:15:00
21,8:53:00,,10:24:00,11:07:00,12:04:00,12:36:00,12:51:00,13:22:00
22,8:22:00,8:44:00,9:04:00,,10:04:00,10:29:00,11:20:00,
23,8:23:00,8:50:00,10:48:00,9:56:00,,,11:09:00,11:36:00
24,0:00:00,,,,,,,
25,8:40:00,,9:43:00,10:07:00,10:46:00,11:27:00,11:37:00,12:06:00
26,8:26:00,,9:23:00,10:13:00,10:53:00,,11:42:00,12:15:00
27,8:27:00,8:57:00,9:18:00,9:46:00,10:24:00,10:53:00,11:04:00,11:31:00
28,8:28:00,8:49:00,9:13:00,10:12:00,10:51:00,11:21:00,0:00:00,11:54:00
29,0:00:00,0:00:00,,,,,,
30,8:30:00,8:49:00,9:08:00,9:33:00,10:05:00,10:29:00,10:47:00,11:17:00
31,8:31:00,8:57:00,9:32:00,10:04:00,10:48:00,11:21:00,11:35:00,12:07:00
32,0:00:00,0:00:00,,,11:52:00,12:28:00,12:46:00,13:19:00
33,8:33:00,,9:45:00,11:01:00,12:09:00,,,
34,8:34:00,8:54:00,9:18:00,9:42:00,10:25:00,,11:04:00,11:41:00
35,8:35:00,9:42:00,10:37:00,9:44:00,12:30:00,,,
36,8:36:00,8:57:00,9:19:00,9:44:00,10:27:00,11:33:00,11:54:00,12:18:00
37,8:37:00,8:58:00,9:22:00,9:49:00,10:36:00,11:05:00,11:18:00,11:53:00
38,8:38:00,,9:23:00,9:50:00,10:43:00,,11:19:00,11:53:00
39,0:00:00,,,,12:06:00,12:28:00,12:36:00,13:09:00
40,8:40:00,9:18:00,9:58:00,10:27:00,10:59:00,,12:01:00,12:25:00
41,8:41:00,9:12:00,9:47:00,10:15:00,11:06:00,11:36:00,12:02:00,12:25:00
42,0:00:00,,,,11:52:00,12:28:00,12:46:00,13:19:00
43,8:44:00,9:29:00,9:52:00,10:16:00,10:43:00,,11:42:00,12:13:00
44,0:00:00,9:06:00,,,11:52:00,12:28:00,12:46:00,13:19:00
45,8:46:00,9:06:00,9:32:00,9:58:00,10:33:00,11:06:00,11:16:00,11:31:00
46,8:47:00,9:10:00,9:31:00,9:58:00,10:27:00,10:52:00,11:03:00,11:35:00
47,8:48:00,9:06:00,9:46:00,10:35:00,11:14:00,11:47:00,12:10:00,12:34:00
48,8:49:00,9:14:00,9:44:00,10:08:00,10:54:00,11:19:00,11:36:00,12:15:00
49,8:50:00,,10:06:00,11:28:00,12:06:00,12:39:00,12:50:00,
50,8:51:00,9:32:00,10:09:00,11:08:00,12:17:00,,,
51,8:52:00,9:18:00,9:43:00,10:09:00,10:43:00,,11:20:00,11:51:00
52,9:07:00,9:27:00,9:46:00,10:10:00,10:38:00,11:05:00,11:19:00,11:49:00
53,8:54:00,,10:06:00,11:02:00,12:09:00,,,
54,8:55:00,9:25:00,9:47:00,10:13:00,10:53:00,11:20:00,11:35:00,12:12:00
55,8:56:00,9:27:00,9:49:00,10:16:00,10:47:00,11:39:00,11:50:00,12:22:00
56,8:57:00,,9:49:00,,11:52:00,,12:46:00,13:19:00
57,8:58:00,,11:09:00,,12:06:00,,12:36:00,13:09:00
58,8:59:00,,10:59:00,11:04:00,11:52:00,,12:46:00,13:19:00
59,0:00:00,,11:09:00,,12:06:00,,12:36:00,13:09:00
60,9:01:00,10:14:00,10:59:00,,11:52:00,,12:46:00,13:19:00
61,9:02:00,9:49:00,10:27:00,10:58:00,11:44:00,12:27:00,12:41:00,13:09:00
62,0:00:00,,10:59:00,11:23:00,11:52:00,,12:46:00,13:19:00
63,0:00:00,,11:09:00,11:43:00,12:06:00,12:28:00,12:36:00,13:09:00
64,0:00:00,0:00:00,10:59:00,11:23:00,11:52:00,12:28:00,12:46:00,13:19:00
65,9:06:00,9:49:00,10:51:00,11:31:00,12:10:00,,12:44:00,13:00:00
66,0:00:00,0:00:00,10:59:00,11:23:00,11:52:00,12:28:00,12:46:00,13:19:00
67,0:00:00,0:00:00,11:09:00,11:43:00,12:06:00,12:28:00,12:36:00,13:09:00
68,0:00:00,0:00:00,10:59:00,11:23:00,11:52:00,12:28:00,12:46:00,13:19:00
69,0:00:00,0:00:00,11:09:00,11:43:00,12:06:00,12:28:00,12:36:00,13:09:00
70,9:05:00,10:13:00,10:49:00,11:29:00,12:12:00,12:34:00,12:43:00,13:00:00
71,9:03:00,10:01:00,10:35:00,11:03:00,11:32:00,11:53:00,12:10:00,12:34:00
72,9:04:00,10:02:00,10:59:00,11:30:00,11:54:00,12:08:00,12:17:00,13:19:00
